#9 Dream|John Lennon|#9 Dream by John Lennon|1975
(Don't Fear) The Reaper|Blue Oyster Cult|(Don't Fear) The Reaper by Blue Oyster Cult|1976
(I Can't Get No) Satisfaction|Rolling Stones|(I Can't Get No) Satisfaction by Rolling Stones|1965
(I Just) Died in Your Arms|Cutting Crew|(I Just) Died in Your Arms by Cutting Crew|1986
(Sittin' On) The Dock of the Bay|Otis Redding|(Sittin' On) The Dock of the Bay by Otis Redding|1968
(You Can Still) Rock in America|Night Ranger|(You Can Still) Rock in America by Night Ranger|1983
(You Gotta) Fight for Your Right (To Party)|Beastie Boys|(You Gotta) Fight for Your Right (To Party) by Beastie Boys|1986
18 And Life|Skid Row|18 And Life by Skid Row|1989
1984/jump|Van Halen|1984/jump by Van Halen|1984
19th Nervous Breakdown|Rolling Stones|19th Nervous Breakdown by Rolling Stones|1966
2112: Overture / The Temples of Syrinx (Chronicles Version)|Rush|2112: Overture / The Temples of Syrinx (Chronicles Version) by Rush|1976
25 Or 6 To 4|Chicago|25 Or 6 To 4 by Chicago|1970
3 Strange Days|School Of Fish|3 Strange Days by School Of Fish|
30 Days In the Hole|Humble Pie|30 Days In the Hole by Humble Pie|1972
45|Shinedown|45 by Shinedown|2003
50 Ways to Leave Your Lover|Paul Simon|50 Ways to Leave Your Lover by Paul Simon|1975
5:15|The Who|0.21875 by The Who|1973
867-5309 / Jenny|Tommy Tutone|867-5309 / Jenny by Tommy Tutone|1982
A Conspiracy|The Black Crowes|A Conspiracy by The Black Crowes|
A Day In The Life|The Beatles|A Day In The Life by The Beatles|1967
A Face In The Crowd|Tom Petty & The Heartbreakers|A Face In The Crowd by Tom Petty & The Heartbreakers|
A Fool for Your Stockings|ZZ Top|A Fool for Your Stockings by ZZ Top|
A Girl Like You|The Smithereens|A Girl Like You by The Smithereens|1989
A Hard Day's Night|The Beatles|A Hard Day's Night by The Beatles|1964
A Horse With No Name|America|A Horse With No Name by America|1972
